ville1,ville2,distance,duree
g1,g2,81,08:10
g1,g3,92,09:20
g1,g4,77,08:10
g1,g5,93,09:30
g1,g6,23,02:30
g1,g7,51,05:10
g1,g8,102,10:20
g1,g9,61,06:10
g1,g10,70,07:00
g2,g3,120,12:00
g2,g4,9,09:00
g2,g5,120,12:00
g2,g6,95,09:50
g2,g7,101,10:10
g2,g8,128,13:20
g2,g9,20,02:00
g2,g10,10,01:00
g3,g4,112,11:20
g3,g5,7,07:00
g3,g6,111,11:10
g3,g7,81,08:10
g3,g8,11,01:10
g3,g9,105,10:50
g3,g10,115,11:50
g4,g5,112,11:20
g4,g6,92,09:20
g4,g7,95,09:50
g4,g8,120,12:00
g4,g9,16,16:00
g4,g10,11,11:00
g5,g6,112,11:20
g5,g7,85,08:50
g5,g8,10,01:00
g5,g9,106,11:00
g5,g10,116,12:00
g6,g7,56,06:00
g6,g8,121,12:10
g6,g9,77,08:10
g6,g10,85,08:50
g7,g8,91,09:10
g7,g9,83,08:30
g7,g10,93,09:30
g8,g9,114,11:40
g8,g10,124,12:40
g9,g10,11,11:00
